home_team,away_team,posteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,game_half,down,ydstogo,ydsnet,yards_gained,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt,penalty
CAR,BUF,CAR,CAR,72,520,520,Half2,4,4,54,48,-15,1,0,0,0,0
CAR,BUF,CAR,BUF,15,401,401,Half2,4,1,78,15,-15,1,0,0,0,0
MIA,NO,MIA,MIA,59,126,126,Half2,4,13,21,0,-5,0,1,0,0,0
DAL,ATL,ATL,DAL,30,313,313,Half2,4,10,80,30,-19,1,0,0,0,0
CIN,CHI,CHI,CHI,64,1664,1664,Half2,4,1,33,2,-28,1,0,0,0,0
CIN,CHI,CHI,CIN,40,1473,1473,Half2,4,5,33,0,-28,0,1,0,0,0
CIN,CHI,CIN,CHI,28,228,228,Half2,4,4,49,0,35,0,1,0,0,0
NYG,ARI,NYG,ARI,35,676,676,Half2,4,1,16,7,-10,1,0,0,0,0
WAS,PHI,WAS,PHI,17,378,378,Half2,4,1,80,8,-16,1,0,0,0,0
WAS,PHI,WAS,PHI,4,282,282,Half2,4,4,75,0,-16,0,1,0,0,0
BAL,DEN,DEN,DEN,60,33,33,Half2,4,7,29,9,-23,1,0,0,0,0
BUF,HOU,BUF,BUF,60,747,747,Half2,4,2,5,-3,-7,0,1,0,0,0
CHI,CLE,CLE,CHI,27,784,784,Half2,4,1,44,0,-17,0,1,0,0,0
CHI,CLE,CHI,CLE,1,296,296,Half2,4,1,84,0,17,0,1,0,0,0
DET,STL,STL,DET,36,63,1863,Half1,4,8,91,36,5,1,0,0,0,0
DET,STL,DET,DET,57,4,1804,Half1,4,2,19,0,-12,0,1,0,0,0
DET,STL,DET,DET,90,63,63,Half2,4,20,-10,0,-11,0,1,0,0,0
IND,SF,IND,SF,18,9,9,Half2,4,1,51,2,4,1,0,0,0,0
PHI,NYG,NYG,PHI,29,1484,1484,Half2,4,4,49,0,-26,0,1,0,0,0
PHI,NYG,NYG,PHI,16,116,116,Half2,4,10,65,0,-23,0,1,0,0,0
NYJ,MIA,MIA,MIA,58,4,1804,Half1,4,10,26,0,0,0,1,0,0,0
NYJ,MIA,NYJ,MIA,28,125,125,Half2,4,10,43,16,-4,1,0,0,0,0
NYJ,MIA,NYJ,MIA,15,76,76,Half2,4,13,40,0,-4,0,1,0,0,0
SD,OAK,OAK,OAK,54,148,148,Half2,4,7,30,10,-8,1,0,0,0,0
SD,OAK,OAK,OAK,54,60,60,Half2,4,20,20,0,-8,0,1,0,0,0
ARI,CAR,ARI,CAR,36,1065,2865,Half1,4,1,59,14,-7,1,0,0,0,0
ARI,CAR,ARI,CAR,32,13,13,Half2,4,10,48,0,-12,0,1,0,0,0
GB,MIN,MIN,GB,1,981,2781,Half1,4,1,14,1,-3,1,0,0,0,0
GB,MIN,MIN,GB,7,418,2218,Half1,4,1,41,-1,11,0,1,0,0,0
GB,MIN,GB,GB,73,166,166,Half2,4,20,1,0,-12,0,1,0,0,0
GB,MIN,MIN,GB,24,33,33,Half2,4,7,5,2,12,0,1,0,0,0
NO,ATL,ATL,NO,23,846,846,Half2,4,4,65,11,-7,1,0,0,0,0
NO,ATL,ATL,ATL,53,109,109,Half2,4,10,13,0,-11,0,1,0,0,0
ATL,WAS,WAS,ATL,1,1334,1334,Half2,4,1,80,1,-20,1,0,0,0,0
ATL,WAS,WAS,ATL,44,372,372,Half2,4,1,34,-2,-13,0,1,0,0,0
ATL,WAS,WAS,WAS,57,154,154,Half2,4,2,33,0,-13,0,1,0,0,0
CHI,ARI,CHI,ARI,32,120,120,Half2,4,3,32,0,-20,0,1,0,0,0
CIN,BAL,CIN,BAL,35,944,944,Half2,4,3,47,0,17,0,1,0,0,0
CIN,BAL,BAL,BAL,75,120,120,Half2,4,29,0,-9,-10,0,1,0,0,1
CIN,BAL,CIN,BAL,25,14,14,Half2,4,4,6,0,10,0,1,0,0,0
IND,HOU,IND,HOU,32,1677,3477,Half1,4,1,48,0,0,0,1,0,0,0
